SUBREGION1,NAME,GL_TYPE
CE,BORGGRAVEN,TW
CE,SYDBR,TW
CE,BREDEGLETSJER,TW
CE,GEIKIE2,LT
CE,GEIKIE3,TW
CE,GEIKIE6,TW
CE,DENDRITGLETSCHER,TW
NW,SHARP_W,LT
NW,HART,TW
NW,HART_W,LT
NW,HUBBARD,TW
NW,GABLE_MIRROR,LT
NW,BOWDOIN,TW
NW,SUN,TW
NW,SUN_W,LT
NW,VERHOEFF,TW
NW,VERHOEFF_W,LT
NW,MEEHAN,TW
NW,MEEHAN_W,LT
NW,SIORARSUAQ,LT
NW,MORRIS_JESUP,TW
NW,MORRIS_JESUP_W,LT
NW,DIEBITSCH,TW
NW,BAMSE,TW
NO,DODGE,LT
NW,SAVISSUAQ_UNNAMED1,TW
NW,SAVISSUAQ_WWWWW,TW
NW,SAVISSUAQ_UNNAMED2,TW
NW,NW_NONAME2,TW
NW,PITUGFIK,TW
NW,SAVISSUAQ_UNNAMED3,TW
NW,SAVISSUAQ_WWWW,TW
NW,SAVISSUAQ_UNNAMED4,TW
NW,SAVISSUAQ,TW
SE,NONAME_IKERTIVAQ_N,TW
SE,APUSEERAJIK,TW
SE,NONAME_IKERTIVAQ_S,TW
SE,KOGE_BUGT_S,TW
SE,UMIIVIK_FJORD,TW
SE,APUSEERSERPIA,TW
SE,GYLDENLOVE,TW
SE,RIMFAXE,TW
NW,SAVISSUAQ-HELLAND-YNGVAR_NIELSEN-MOHN-CARLOS,TW
NW,YNGVAR_NIELSEN_BRAE_W,TW
NW,HELLAND,TW
NW,YNGVAR_NIELSEN_BRAE,TW
NW,MOHN_GLETSJER,TW
SE,HEIM_GLETSCHER,TW
SE,BRCKNER_GLETSCHER,TW
SE,SE_NONAME10,LT
SE,BUSSEMAND,LT
CE,F_GRAAE,TW
CE,CHARCOT,TW
CE,GEIKIE5,TW
CE,SORTEBRAE,TW
NW,UPERNAVIK_ISSTROM_C,TW
NW,UPERNAVIK_ISSTROM_S,TW
SE,PUISORTOQ_S,TW
SE,NAPASORSUAQ_N,TW
SE,IKERTIVAQ_N,TW
SE,IKERTIVAQ_M,TW
SE,IKERTIVAQ_S,TW
NW,HAYES_GLETSCHER_N_NN,TW
NO,BRIKKERNE_GLETSCHER,TW
NO,HAGEN_BRAE,TW
NE,NE_NONAME1,LT
CW,JAKOBSHAVN_ISBRAE,TW
CW,SAQQARLIUP_ALANGORLIUP,TW
CW,NORDENSKIOLD_GLETSCHER,LT
CW,CW_NONAME1,LT
CW,SERMEQ_AVANNARLEQ,TW
NO,PETERMANN_GLETSCHER,TW
NO,PETERMANN_GLETSCHER_N,TW
NW,TUGTO,LT
SW,ICE_CAPS_SW,TW
NO,ICE_CAPS_NO,TW
NW,ICE_CAPS_NW,TW
NE,ICE_CAPS_NE,TW
CW,ICE_CAPS_CW,TW
SE,MOGENS_HEINESEN_C,TW
SE,GYLDENLOVE_SS,TW
SE,AP_BERNSTOFF_GLETSCHER,TW
CE,GEIKIE7,TW
CE,UNNAMED_POLARIC_C,TW
CE,KIV_STEENSTRUP_SONDRE_BRAE,TW
SE,GYLDENLOVE_S,TW
NW,NW_NONAME3,TW
NW,SAVISSUAQ_W,TW
NW,SAVISSUAQ_WW,TW
NW,NW_NONAME4,TW
NW,SAVISSUAQ_WWW,TW
SE,MOGENS_HEINESEN_N,TW
NE,AB_DRACHMANN_GLETSCHER_L_BISTRUP_BRAE,TW
NE,SORANERBRAEEN-EINAR_MIKKELSEN-HEINKEL-TVEGEGLETSCHER-PASTERZE,TW
NE,STORSTROMMEN,TW
NE,ADMIRALTY_TREFORK_KRUSBR_BORGJKEL_PONY,TW
