latitude,longitude
-81.92722336845247,-47.77402303078253
-81.93193817138634,-47.66685485839843
-81.94192504882774,-47.542251586914055
-81.96192169189415,-47.442012786865234
-81.97489166259729,-47.331993103027344
-81.98349761962857,-47.31682968139647
-81.99147033691372,-47.35372924804687
-81.99855041503871,-47.388824462890625
-82.00434112548793,-47.452598571777344
-82.00698852539027,-47.478397369384766
-82.01197814941372,-47.487209320068345
-82.01545715331997,-47.48587799072265
-82.02178192138638,-47.49673843383788
-82.02259063720669,-47.53010177612305
-82.02121734619107,-47.570037841796875
-82.02461242675747,-47.583251953124986
-82.02770233154263,-47.59072113037108
-82.03126525878872,-47.595119476318345
-82.03512573242153,-47.58667373657224
-82.03718566894497,-47.562263488769524
-82.0401458740231,-47.5365104675293
-82.0442733764645,-47.521636962890625
-82.04876708984341,-47.50119400024414
-82.04935455322232,-47.47868728637694
-82.04929351806607,-47.45112228393553
-82.04707336425747,-47.428565979003885
-82.04557800292935,-47.39652252197265
-82.04626464843716,-47.37486267089844
-82.05070495605435,-47.34216308593749
-82.05495452880825,-47.32477188110351
-82.06213378906216,-47.323635101318345
-82.0669784545895,-47.319374084472656
-82.06973266601528,-47.30718994140626
-82.06954956054653,-47.28033065795898
-82.06584930419888,-47.25978088378904
-82.06216430664028,-47.236007690429666
-82.06032562255825,-47.20303726196289
-82.06047821044888,-47.17387771606446
-82.05708312988247,-47.159160614013665
-82.04994964599575,-47.17260742187499
-82.04311370849575,-47.173164367675774
-82.02217102050747,-47.12788009643555
-82.01535034179652,-47.12524795532225
-82.01085662841763,-47.127273559570305
-82.00275421142543,-47.11141967773436
-81.9985961914059,-47.09260940551758
-81.99391937255825,-47.064838409423814
-81.99106597900355,-47.02952575683592
-81.98825836181605,-46.86484146118163
-81.98242950439416,-46.73899459838866
-81.97414398193322,-46.68424606323243
-81.95095825195274,-46.57139205932616
-81.94163513183557,-46.51763534545897
-81.9328079223629,-46.45132827758788
-81.93043518066368,-46.39266204833984
-81.92810821533165,-46.35078811645508
-81.92368316650352,-46.33410263061523
-81.9194793701168,-46.319065093994126
-81.91419219970665,-46.29113388061523
-81.91416931152305,-46.26326370239258
-81.9201126098629,-46.222766876220696
-81.93084716796837,-46.22918701171875
-81.96321105956993,-46.26779556274412
-81.98083496093714,-46.25373077392578
-82.0058441162106,-46.204521179199205
-82.04971313476528,-46.098640441894545
-82.08063507080045,-46.05173110961915
-82.09223937988249,-46.02478790283202
-82.09686279296842,-46.0131721496582
-82.12129974365203,-46.04982376098633
-82.1281051635739,-46.059730529785156
-82.13128662109344,-46.04379653930663
-82.1325683593747,-46.02351379394531
-82.13509368896453,-45.99765014648438
-82.14270782470673,-46.00025939941406
-82.16976165771453,-46.06538772583007
-82.18809509277312,-46.124755859374986
-82.21731567382781,-46.172004699707024
-82.24495697021457,-46.222686767578104
-82.28376007080051,-46.249710083007805
-82.32990264892553,-46.36553955078123
-82.3554382324216,-46.43917846679684
-82.38098144531224,-46.56909942626954
-82.39342498779273,-46.628395080566406
-82.40075683593724,-46.6748809814453
-82.40807342529271,-46.69516372680661
-82.42969512939429,-46.63962173461914
-82.44525146484352,-46.585899353027344
-82.46081542968726,-46.52683258056641
-82.4654846191404,-46.504703521728516
-82.46836853027321,-46.48048782348631
-82.46988677978493,-46.462829589843736
-82.47992706298805,-46.44338226318358
-82.49177551269509,-46.45424270629883
-82.50473785400368,-46.49886322021484
-82.51239013671852,-46.490077972412095
-82.51699066162087,-46.45313644409179
-82.51750183105446,-46.40073776245117
