latitude,longitude
-70.04931106432016,-64.82089427442997
-70.03256278134835,-64.76805348199828
-69.99768627017954,-64.64998784310413
-69.93227846236385,-64.50088779629675
-69.90428392396923,-64.48451661776538
-69.85678713204831,-64.52274913533788
-69.7892818600988,-64.49688678760225
-69.73443019784631,-64.49027159861085
-69.71357786288833,-64.55537831025991
-69.67151784763414,-64.72187482985261
-69.64237019154733,-64.8519618059625
-69.60225092284972,-64.91497097397178
-69.56796381772654,-65.03296618838601
-69.54912310336888,-65.12999153991733
-69.53142105917493,-65.23423365876586
-69.49812658932366,-65.12568658137197
-69.4544243208083,-65.0312136392436
-69.42066818733056,-64.95964971364351
-69.39405391615533,-64.94134440327072
-69.37084475809738,-64.93418840576801
-69.33222846732548,-64.93854712385611
-69.31061633162749,-64.93153383680273
-69.28779730231564,-64.91724290539972
-69.27374891487125,-64.88472188590013
-69.2669334639144,-64.86264619149685
-69.27280140809434,-64.88375438640449
-69.28112468157659,-64.91495490253817
-69.29361662748042,-64.94288924194892
-69.29809803830254,-64.97475607262902
-69.3091466029719,-65.05131932273852
-69.31019089868701,-65.10549528731427
-69.31500922809174,-65.19246471585026
-69.31590534453373,-65.25567317673251
-69.31773616422781,-65.2910147657048
-69.32214929660651,-65.32299596520089
-69.31343420582085,-65.33210329575179
-69.29786024355865,-65.32794193469174
-69.28266088023764,-65.26349340331778
-69.28112278730987,-65.23004244762718
-69.27664280741841,-65.2026424597889
-69.26354984454235,-65.17541602169304
-69.24980638493635,-65.14906904732678
-69.23407330702379,-65.1297783181686
-69.22874434657479,-65.12125248560407
-69.2215448093611,-65.12298927679136
-69.22399036452342,-65.11606332833651
-69.17908981354168,-65.11535213107803
-69.13936168961813,-65.0745336899893
-69.1033231844474,-65.04665646973352
-69.07115530255341,-64.94789785334636
-69.04714787452843,-64.92654795518149
-69.0154025967258,-64.91535640601708
-68.97910615273796,-64.91451772580184
-68.95787198201013,-64.93780130296882
-68.93594852088577,-64.9662968065106
-68.95381212979682,-64.89498259467729
-68.96246937363358,-64.85305728071474
-68.95793219949243,-64.78895106282529
-68.94464363453329,-64.7013060380896
-68.93063166300303,-64.61904422935626
-68.91529276916155,-64.53859387662277
-68.90236806417914,-64.47252125893058
-68.88351821417925,-64.32681185540045
-68.87324967437985,-64.22226558556824
-68.8955398775827,-64.07827785926766
-68.89144191134197,-63.98279049108897
-68.88738324757638,-63.85203281282102
-68.90350267006399,-63.76401382259508
-68.88896716453941,-63.70904747391641
-68.87050362347765,-63.71233077590364
-68.8475672119854,-63.7261201592165
-68.83293362605193,-63.72415353382939
-68.81190449032357,-63.73969177489224
-68.78190414178418,-63.78492122329393
-68.76145856379935,-63.821427894057805
-68.74471492005533,-63.896513399051294
-68.73631614335952,-63.93839226037749
-68.71901875607637,-63.97475060039499
-68.69987488094175,-63.991751239869515
-68.65538301556589,-63.98183471563805
-68.61033102175358,-63.9510397435124
-68.5653580875667,-63.89430263605104
-68.53946579358549,-63.829493908834536
-68.52250858381416,-63.73549347121227
-68.4972848086628,-63.59651291788062
-68.47511444817492,-63.475178856557534
-68.44905701517476,-63.411164679088294
-68.43502515397118,-63.3092510030065
-68.43352207244598,-63.13823684342249
