x,y
336.688,220.288
336.731,220.331
336.770,220.421
336.947,220.532
337.072,220.551
337.171,220.494
337.133,220.443
337.184,220.418
337.261,220.328
337.363,220.277
337.375,220.188
337.388,220.150
337.541,220.175
337.676,220.089
337.731,220.082
337.774,220.107
337.796,220.135
337.793,220.181
337.786,220.227
337.765,220.307
337.669,220.392
337.695,220.494
337.669,220.520
337.669,220.622
337.695,220.647
337.695,220.724
337.720,220.813
337.720,220.928
337.695,220.966
337.695,221.005
337.720,221.030
337.720,221.094
337.682,221.132
337.682,221.222
337.746,221.285
337.809,221.285
337.848,221.247
337.835,221.196
337.924,221.132
338.128,221.120
338.154,221.171
338.218,221.171
338.243,221.222
338.231,221.311
338.231,221.362
338.180,221.413
338.196,221.496
338.301,221.524
338.339,221.496
338.368,221.459
338.395,221.408
338.421,221.348
338.432,221.310
338.414,221.269
338.398,221.229
338.402,221.168
338.395,221.103
338.448,221.029
338.484,221.018
338.518,220.997
338.581,220.996
338.627,220.985
338.665,221.015
338.688,221.057
338.732,221.078
338.841,221.083
338.955,221.136
338.977,221.164
338.988,221.204
338.992,221.275
339.000,221.340
339.028,221.417
339.002,221.501
339.046,221.580
338.955,221.643
339.028,221.711
339.093,221.781
339.128,221.840
339.179,221.863
339.248,221.811
339.309,221.783
339.368,221.742
339.392,221.722
339.488,221.676
339.577,221.642
339.584,221.677
339.571,221.713
339.544,221.756
339.532,221.797
339.529,221.829
339.520,221.876
339.533,221.914
339.560,221.872
339.596,221.825
339.641,221.777
339.710,221.704
339.772,221.609
339.802,221.564
339.865,221.501
339.875,221.467
339.907,221.435
339.962,221.423
339.993,221.416
340.025,221.406
340.061,221.402
340.093,221.402
340.144,221.400
340.180,221.374
340.213,221.366
340.272,221.361
340.301,221.393
340.327,221.429
340.331,221.486
340.320,221.583
340.282,221.704
340.274,221.762
340.307,221.789
340.292,221.836
340.306,221.864
340.330,221.886
340.383,221.914
340.406,221.948
340.405,222.003
340.310,222.085
340.194,222.219
340.182,222.249
340.187,222.280
340.207,222.307
340.268,222.326
340.347,222.360
340.391,222.403
340.437,222.458
340.456,222.487
340.459,222.525
340.438,222.578
340.394,222.631
340.296,222.704
340.246,222.749
340.218,222.801
340.209,222.849
340.176,222.865
340.089,222.914
340.067,222.957
340.069,222.990
340.100,223.022
340.143,223.038
340.193,223.050
340.326,223.073
340.359,223.103
340.382,223.124
340.404,223.184
340.382,223.210
340.343,223.232
340.277,223.256
340.240,223.239
340.208,223.216
340.183,223.183
340.145,223.185
340.140,223.224
340.157,223.250
340.183,223.271
340.207,223.300
340.183,223.323
340.088,223.380
340.021,223.377
339.973,223.362
339.943,223.333
339.871,223.296
339.809,223.286
339.767,223.288
339.735,223.312
339.733,223.346
339.668,223.392
339.635,223.404
339.667,223.449
339.705,223.484
339.741,223.535
339.747,223.570
339.648,223.647
339.667,223.707
339.766,223.723
339.868,223.707
339.819,223.750
339.819,223.750
339.819,223.750
339.984,223.664
340.058,223.673
340.055,223.726
339.984,223.818
339.984,223.818
339.984,223.818
339.962,223.882
339.936,223.908
339.923,223.946
339.898,223.997
339.885,224.048
339.898,224.125
339.935,224.192
339.920,224.258
339.763,224.349
339.762,224.464
339.884,224.498
340.012,224.511
340.191,224.396
340.242,224.511
340.318,224.524
340.369,224.613
340.357,224.690
340.318,224.728
340.318,224.805
340.344,224.843
340.446,224.856
340.566,224.821
340.630,224.834
340.847,224.810
340.844,224.878
340.917,224.865
340.973,224.883
341.028,224.834
341.142,224.778
341.342,224.692
341.477,224.655
341.502,224.671
341.505,224.717
341.518,224.760
341.573,224.806
341.604,224.840
341.616,224.880
341.610,224.939
341.444,225.089
341.265,225.256
341.033,225.374
341.000,225.391
340.779,225.443
340.708,225.419
340.638,225.411
340.690,225.475
340.771,225.498
340.815,225.549
340.886,225.545
340.985,225.641
341.059,225.708
341.046,225.772
341.046,225.823
341.008,225.848
340.962,225.944
341.039,225.970
341.067,226.016
341.113,226.016
341.159,226.016
341.205,226.016
341.251,226.016
341.297,226.016
341.343,226.016
341.388,226.016
341.434,226.016
341.526,226.016
341.582,226.000
341.694,225.928
341.740,225.928
341.744,225.897
341.842,225.828
341.895,225.794
341.941,225.794
341.973,225.768
342.098,225.729
342.188,225.697
342.255,225.690
342.308,225.701
342.256,225.892
342.281,225.914
342.262,225.980
342.204,226.045
342.226,226.085
342.304,226.110
342.428,226.054
342.481,226.017
342.530,225.968
342.557,225.887
342.583,225.832
342.629,225.740
342.658,225.688
342.697,225.642
342.697,225.596
342.717,225.552
342.714,225.506
342.721,225.464
342.721,225.418
342.721,225.373
342.721,225.327
342.721,225.281
342.723,225.220
342.713,225.138
342.713,225.092
342.713,225.046
342.713,225.000
342.713,224.954
342.713,224.908
342.717,224.869
342.726,224.812
342.726,224.767
342.742,224.702
342.767,224.647
342.767,224.601
342.767,224.555
342.786,224.461
342.798,224.430
342.825,224.391
342.834,224.355
342.879,224.297
342.881,224.262
342.898,224.219
342.907,224.157
342.925,224.114
342.921,224.029
342.959,223.957
343.009,223.903
343.036,223.846
343.123,223.739
343.187,223.696
343.225,223.664
343.271,223.619
343.318,223.600
343.398,223.559
343.456,223.535
343.686,223.489
343.758,223.451
343.831,223.462
343.912,223.498
344.024,223.557
344.050,223.636
344.050,223.681
344.102,223.887
344.102,223.933
344.088,224.001
344.088,224.047
344.088,224.093
344.088,224.139
344.082,224.216
344.013,224.305
343.962,224.362
343.962,224.408
343.962,224.454
343.962,224.499
343.916,224.545
343.846,224.662
343.870,224.775
343.870,224.821
343.916,224.959
343.916,225.005
343.971,225.024
344.008,225.103
344.002,225.196
343.980,225.242
343.945,225.303
343.945,225.348
343.918,225.403
343.881,225.461
343.878,225.564
343.832,225.609
343.799,225.695
343.740,225.793
343.711,225.842
343.694,225.885
343.670,225.932
343.648,225.977
343.602,226.023
343.569,226.073
343.556,226.115
343.510,226.161
343.488,226.207
343.483,226.258
343.407,226.339
343.343,226.375
343.304,226.423
343.295,226.461
343.249,226.507
343.203,226.532
343.165,226.563
343.111,226.598
343.076,226.630
343.008,226.676
342.951,226.739
342.893,226.772
342.785,226.863
342.703,226.921
342.660,226.943
342.587,226.998
342.547,227.022
342.446,227.060
342.360,227.093
342.262,227.114
342.222,227.129
342.168,227.145
342.063,227.156
341.992,227.180
341.789,227.242
341.508,227.277
341.677,227.361
341.690,227.412
341.741,227.451
341.757,227.517
341.779,227.604
341.782,227.636
341.897,227.725
341.923,227.798
342.098,227.808
342.051,227.884
342.089,227.941
342.159,227.983
342.353,227.983
342.395,227.992
342.461,227.949
342.595,227.785
342.609,227.673
342.641,227.640
342.691,227.616
342.778,227.583
342.852,227.570
342.942,227.555
343.119,227.473
343.222,227.450
343.293,227.471
343.353,227.599
343.394,227.762
343.410,227.875
343.360,227.974
343.220,228.105
343.116,228.188
343.079,228.268
343.001,228.321
342.946,228.343
342.928,228.421
342.915,228.459
342.915,228.548
342.979,228.561
343.017,228.497
343.068,228.497
343.056,228.535
343.043,228.599
343.056,228.660
343.053,228.712
343.053,228.750
342.941,228.816
342.807,228.810
342.775,228.875
342.775,229.033
342.826,229.046
342.838,229.123
342.915,229.199
342.864,229.250
342.749,229.327
342.638,229.397
342.613,229.435
342.600,229.537
342.612,229.579
342.657,229.712
342.683,229.767
342.699,229.824
342.621,229.850
342.592,229.876
342.596,229.927
342.370,229.989
342.274,230.005
342.226,230.029
342.124,230.003
342.085,230.016
342.047,230.054
342.034,230.093
341.996,230.118
341.856,230.156
341.795,230.246
341.818,230.348
341.766,230.373
341.754,230.425
341.715,230.463
341.690,230.501
341.690,230.565
341.651,230.616
341.639,230.731
341.639,230.769
341.588,230.820
341.476,230.852
341.413,230.916
341.400,230.954
341.413,231.054
341.515,231.095
341.531,231.143
341.362,231.261
341.362,231.325
341.400,231.376
341.387,231.452
341.268,231.497
341.179,231.586
341.179,231.637
340.822,231.867
340.861,231.927
340.835,231.976
340.809,232.020
340.758,232.071
340.771,232.122
340.698,232.212
340.682,232.266
340.669,232.305
340.592,232.314
340.512,232.279
340.464,232.326
340.347,232.304
340.325,232.345
340.312,232.381
340.247,232.377
340.235,232.416
340.196,232.416
340.184,232.352
339.903,232.492
339.890,232.556
339.903,232.607
339.903,232.837
339.877,232.875
339.864,232.926
339.839,233.016
339.839,233.080
339.801,233.131
339.798,233.243
339.797,233.372
339.771,233.397
339.746,233.436
339.720,233.474
339.707,233.512
339.694,233.551
339.682,233.602
339.707,233.793
339.669,233.844
339.656,233.946
339.643,233.985
339.621,234.048
339.656,234.125
339.707,234.163
339.771,234.125
339.784,234.074
339.809,234.048
339.822,233.997
339.886,233.946
339.912,233.882
339.950,233.857
339.950,233.768
339.975,233.742
339.975,233.704
340.019,233.669
340.068,233.616
340.107,233.590
340.186,233.522
340.235,233.437
340.279,233.375
340.375,233.329
340.447,233.301
340.507,233.319
340.550,233.200
340.590,233.145
340.642,233.120
340.721,233.112
340.790,233.135
340.858,233.175
340.901,233.263
340.982,233.365
341.025,233.441
341.030,233.477
341.030,233.477
341.065,233.476
341.141,233.526
341.192,233.547
341.286,233.576
341.358,233.633
341.451,233.640
341.476,233.679
341.463,233.755
341.476,233.806
341.438,233.832
341.425,233.870
341.591,233.908
341.693,233.870
341.680,233.819
341.719,233.781
341.783,233.806
341.808,233.781
341.834,233.832
341.961,233.819
341.974,233.896
341.949,233.934
342.000,233.998
342.127,234.011
342.153,233.985
342.166,233.947
342.229,233.947
342.332,234.023
342.370,234.023
342.472,233.947
342.625,233.985
342.612,234.023
342.587,234.062
342.574,234.138
342.543,234.215
342.598,234.176
342.642,234.152
342.692,234.128
342.735,234.062
