x,y
203.155,269.674
203.132,269.644
203.088,269.664
203.034,269.703
202.941,269.742
202.838,269.777
202.725,269.845
202.622,269.909
202.568,269.958
202.568,269.997
202.519,270.046
202.450,270.046
202.372,269.997
202.136,270.051
202.018,270.110
201.876,270.149
201.803,270.159
201.763,270.208
201.729,270.228
201.508,270.277
201.361,270.247
201.322,270.292
201.288,270.370
201.243,270.414
201.155,270.444
201.028,270.454
200.944,270.409
200.885,270.424
200.748,270.449
200.542,270.473
200.478,270.478
200.375,270.527
200.262,270.586
200.174,270.591
200.101,270.601
200.042,270.684
200.032,270.861
199.901,270.941
199.576,271.062
199.522,271.184
199.424,271.508
199.316,271.616
199.159,271.704
199.070,271.719
198.948,271.685
198.928,271.592
198.899,271.572
198.835,271.587
198.771,271.616
198.683,271.606
198.639,271.567
198.546,271.513
198.452,271.444
198.364,271.341
198.134,271.268
198.055,271.175
197.977,271.130
197.937,271.121
197.898,271.111
197.728,271.119
197.712,271.008
197.333,271.357
197.026,271.663
196.958,271.742
196.869,271.895
196.859,272.037
196.864,272.104
196.843,272.163
196.843,272.227
196.715,272.508
196.767,272.731
196.782,272.857
196.819,272.973
196.852,273.035
196.993,273.266
197.036,273.422
197.087,273.588
197.174,273.755
197.315,274.124
197.409,274.355
197.413,274.427
197.445,274.504
197.536,274.532
197.594,274.648
197.622,274.684
197.666,274.742
197.662,274.872
197.630,274.963
197.648,275.046
197.659,275.259
197.604,275.419
197.507,275.505
197.427,275.524
197.362,275.538
197.326,275.614
197.315,275.701
197.264,275.737
197.210,275.874
197.138,275.994
196.895,276.243
196.722,276.493
196.490,276.753
196.411,276.837
196.356,276.866
196.270,276.869
196.125,276.790
196.053,276.750
196.002,276.717
196.016,276.685
196.016,276.649
195.987,276.609
195.926,276.511
195.883,276.421
195.886,276.319
195.995,276.063
196.024,275.972
196.067,275.860
196.136,275.762
196.165,275.697
196.147,275.524
196.067,275.270
196.038,275.202
196.031,275.064
195.998,274.623
195.908,274.362
195.817,274.127
195.626,273.867
195.477,273.708
195.350,273.783
195.299,273.822
195.247,273.899
195.082,273.912
195.043,273.950
194.940,274.072
194.884,274.174
194.669,274.414
194.608,274.462
194.587,274.675
194.551,274.717
194.418,274.895
194.290,274.874
194.201,274.907
193.729,274.907
193.677,274.946
193.563,274.946
193.524,274.984
193.397,274.984
193.307,275.061
193.218,275.073
193.129,275.035
193.090,275.010
193.090,274.971
192.835,274.984
192.758,274.971
192.733,274.933
192.695,274.933
192.631,275.010
192.465,274.971
192.388,275.035
192.377,275.034
192.184,275.022
192.197,274.984
192.401,274.882
192.388,274.831
192.299,274.805
192.210,274.818
192.197,274.780
192.171,274.754
192.120,274.741
192.095,274.716
192.133,274.639
192.184,274.627
192.222,274.512
192.044,274.524
191.954,274.473
191.878,274.448
191.827,274.410
191.674,274.448
191.648,274.422
191.610,274.397
191.495,274.359
191.303,274.359
191.265,274.320
191.227,274.307
191.227,274.269
191.163,274.256
191.137,274.231
191.112,274.205
191.074,274.231
190.946,274.218
190.933,274.256
190.793,274.295
190.780,274.256
190.742,274.231
190.627,274.167
190.563,274.129
190.486,274.116
190.435,274.078
190.321,274.090
190.282,274.180
190.195,274.229
190.078,274.359
189.963,274.422
189.912,274.410
190.027,274.282
190.091,274.116
190.040,274.100
189.950,274.167
189.784,274.397
189.682,274.422
189.657,274.397
189.682,274.333
189.784,274.295
189.810,274.244
189.797,274.167
189.772,274.129
189.772,274.065
189.721,274.065
189.670,274.116
189.491,274.142
189.491,274.103
189.644,274.027
189.644,273.950
189.618,273.925
189.567,273.899
189.478,273.861
189.376,273.873
189.453,273.810
189.350,273.771
189.200,273.844
189.031,273.925
188.968,273.925
188.942,273.976
188.814,274.052
188.819,274.090
188.789,274.141
188.725,274.154
188.559,274.307
188.444,274.282
188.355,274.307
188.304,274.282
188.227,274.282
188.023,274.448
188.010,274.588
187.908,274.665
187.844,274.665
187.857,274.703
187.883,274.741
187.895,274.805
187.857,274.831
187.870,274.882
187.832,274.958
187.704,274.984
187.576,275.124
187.359,275.265
187.257,275.277
187.184,275.317
186.925,275.456
186.849,275.456
186.632,275.635
186.427,275.686
186.389,275.763
186.198,275.941
186.083,275.980
185.840,276.171
185.725,276.414
185.611,276.388
185.483,276.477
185.330,276.503
185.228,276.605
185.189,276.605
185.151,276.567
184.972,276.720
184.870,276.694
184.806,276.656
184.781,276.631
184.681,276.707
184.653,276.636
184.551,276.747
184.616,276.849
184.601,276.907
184.505,276.930
184.428,276.948
184.370,277.056
184.301,277.005
184.253,277.059
184.188,277.199
184.158,277.440
184.123,277.531
184.081,277.564
184.050,277.558
183.962,277.522
183.965,277.580
184.022,277.656
184.026,277.735
184.000,277.880
183.961,278.116
183.947,278.249
183.988,278.508
183.992,278.588
183.987,278.681
183.967,278.743
183.931,278.817
183.881,278.880
183.847,278.896
183.781,278.905
183.734,278.891
183.674,278.823
183.666,278.815
183.665,278.815
183.548,278.815
183.481,278.848
183.426,278.952
183.385,279.013
183.308,279.063
183.171,279.108
183.101,279.119
183.016,279.116
182.962,279.095
182.882,278.985
182.892,278.662
182.921,278.570
182.963,278.485
182.974,278.424
182.975,278.307
182.949,278.185
182.882,277.997
182.819,277.919
182.773,277.788
182.765,277.666
182.711,277.678
182.675,277.637
182.635,277.660
182.467,277.690
182.390,277.703
182.307,277.784
182.204,277.802
182.032,277.857
181.928,277.940
181.882,277.940
181.836,277.894
181.745,277.894
181.515,277.664
181.515,277.572
181.423,277.480
181.377,277.389
181.331,277.343
181.239,277.343
181.147,277.251
181.147,277.067
180.963,276.883
180.918,276.791
180.734,276.607
180.688,276.607
180.596,276.561
180.504,276.470
180.504,276.378
180.412,276.286
180.479,276.094
180.441,276.056
180.390,276.018
180.352,275.992
180.250,276.031
180.211,275.980
180.173,275.954
180.173,275.877
180.160,275.839
180.058,275.839
180.045,275.916
180.084,275.929
180.109,275.954
180.109,276.005
179.931,276.031
179.931,276.158
179.828,276.222
179.675,276.465
179.560,276.528
179.382,276.503
179.190,276.643
179.114,276.631
178.986,276.592
178.909,276.554
178.718,276.618
178.705,276.614
178.629,276.592
178.450,276.592
178.284,276.784
178.220,276.975
178.131,277.103
178.144,277.154
178.118,277.230
178.041,277.358
177.939,277.333
177.748,277.333
177.544,277.269
177.505,277.243
177.429,277.243
177.365,277.269
177.365,277.307
177.314,277.371
177.365,277.409
177.416,277.422
177.365,277.447
177.199,277.435
177.135,277.473
177.135,277.511
177.237,277.524
177.301,277.524
177.314,277.562
177.237,277.613
177.110,277.601
177.071,277.588
177.033,277.562
176.931,277.524
176.905,277.435
176.727,277.396
176.650,277.384
176.612,277.345
176.510,277.333
176.331,277.307
176.152,277.320
176.114,277.281
175.999,277.243
175.642,277.282
175.615,277.307
175.259,277.639
175.131,277.843
175.106,277.958
175.004,278.086
174.889,278.149
174.863,278.264
174.736,278.366
174.710,278.443
174.723,278.571
174.634,278.698
174.621,278.851
174.570,278.903
174.570,278.979
174.530,278.997
174.530,279.089
174.484,279.135
174.484,279.227
174.377,279.293
174.380,279.428
174.378,279.466
174.356,279.495
174.318,279.532
174.243,279.562
174.227,279.612
174.207,279.652
174.164,279.687
174.057,279.729
174.009,279.737
173.918,279.739
173.869,279.724
173.827,279.699
173.746,279.687
173.710,279.695
173.683,279.723
173.675,279.788
173.647,279.879
173.610,279.895
173.552,279.895
173.486,279.893
173.439,279.891
173.334,279.931
173.212,279.940
173.172,279.931
173.123,279.897
173.089,279.873
173.047,279.887
173.061,279.927
173.119,279.990
173.160,280.022
173.200,280.049
173.226,280.073
173.332,280.101
173.423,280.103
173.503,280.073
173.606,280.022
173.685,279.958
173.760,279.960
173.796,279.972
173.841,280.026
173.900,280.057
173.954,280.043
174.021,280.026
174.126,280.026
174.184,280.069
174.193,280.121
174.201,280.176
174.229,280.228
174.262,280.231
174.305,280.196
174.338,280.167
174.441,280.063
174.473,280.039
174.512,280.014
174.548,280.006
174.585,280.002
174.704,279.994
174.813,280.000
174.856,280.012
174.902,280.041
174.965,280.099
175.062,280.208
175.149,280.273
175.181,280.294
175.225,280.340
175.262,280.408
175.312,280.465
175.526,280.613
175.720,280.803
175.756,280.821
175.796,280.862
175.828,280.914
175.854,281.025
175.870,281.096
175.894,281.132
175.977,281.219
176.033,281.273
176.111,281.350
176.116,281.400
176.111,281.451
176.119,281.532
176.145,281.567
176.155,281.613
176.131,281.661
176.082,281.698
176.040,281.714
175.933,281.720
175.927,281.795
175.935,281.894
175.923,281.957
175.844,282.043
175.716,282.076
175.686,282.098
175.640,282.165
175.605,282.215
175.551,282.238
175.494,282.231
175.434,282.199
175.399,282.183
175.300,282.188
175.253,282.210
175.225,282.248
175.237,282.324
175.254,282.419
175.256,282.517
175.260,282.533
175.264,282.549
175.294,282.615
175.301,282.653
175.294,282.692
175.246,282.747
175.175,282.786
175.143,282.796
175.110,282.818
175.094,282.854
175.114,282.919
175.183,282.979
175.276,283.078
175.381,283.161
175.472,283.242
175.514,283.299
175.524,283.361
175.480,283.454
175.335,283.484
175.189,283.479
175.050,283.440
174.906,283.353
174.845,283.321
174.760,283.317
174.665,283.361
174.611,283.351
174.546,283.325
174.480,283.349
174.446,283.383
174.397,283.432
174.383,283.521
174.397,283.611
174.399,283.648
174.364,283.705
174.237,283.780
174.154,283.810
174.085,283.806
174.024,283.770
174.023,283.739
173.980,283.658
173.938,283.630
173.885,283.656
173.813,283.705
173.764,283.766
173.714,283.814
173.612,283.881
173.551,283.903
173.510,283.912
173.473,283.949
173.283,284.123
173.237,284.145
173.180,284.147
173.118,284.148
173.087,284.139
173.028,284.162
173.008,284.194
172.992,284.243
172.966,284.290
172.871,284.372
172.739,284.416
172.479,284.439
172.434,284.455
172.388,284.443
172.159,284.404
172.121,284.410
172.044,284.465
172.006,284.511
171.929,284.521
171.894,284.542
171.860,284.584
171.862,284.754
171.860,284.808
171.890,284.914
171.890,284.958
171.866,285.023
171.771,285.146
171.751,285.174
171.757,285.302
171.725,285.350
171.705,285.415
171.672,285.445
171.597,285.483
171.533,285.496
171.496,285.490
171.428,285.568
171.403,285.655
171.363,285.773
171.286,285.938
171.260,285.960
171.161,286.031
171.033,286.074
170.821,286.076
170.732,286.053
170.694,286.041
170.652,286.041
170.605,286.064
170.563,286.098
170.520,286.104
170.415,286.116
170.362,286.130
170.326,286.142
170.270,286.205
170.233,286.284
170.207,286.343
170.158,286.454
170.096,286.559
170.055,286.633
170.019,286.698
169.898,286.947
169.849,286.977
169.776,286.983
169.699,286.995
169.671,287.048
169.663,287.111
169.689,287.155
169.748,287.236
169.780,287.290
169.819,287.369
169.839,287.446
169.892,287.525
169.930,287.543
169.960,287.575
169.978,287.620
169.989,287.691
169.972,287.788
169.940,287.844
169.879,287.899
169.809,287.972
169.673,288.077
169.572,288.151
169.534,288.166
169.481,288.200
169.354,288.354
169.336,288.392
169.299,288.430
169.251,288.453
169.142,288.541
169.079,288.590
168.996,288.651
168.954,288.703
168.875,288.796
168.835,288.851
168.780,288.897
168.725,288.905
168.665,288.936
168.657,288.970
168.622,289.025
168.564,289.073
168.465,289.140
168.358,289.180
168.289,289.196
168.266,289.241
168.264,289.312
168.248,289.348
168.250,289.384
168.293,289.504
168.295,289.578
168.263,289.716
168.242,289.770
168.240,289.958
168.208,290.019
168.170,290.195
168.147,290.276
168.137,290.359
168.044,290.520
168.026,290.565
168.040,290.637
168.042,290.741
168.035,290.747
168.006,290.771
167.967,290.827
167.971,290.896
167.980,291.011
167.956,291.087
167.910,291.119
167.872,291.141
167.794,291.147
167.765,291.185
167.731,291.242
167.715,291.385
167.682,291.484
167.691,291.523
167.644,291.684
167.608,291.713
167.511,291.783
167.364,291.868
167.315,291.888
167.254,291.914
167.201,291.929
167.013,291.996
166.957,292.004
166.880,291.959
