x,y
133.319,476.884
133.547,476.984
133.955,477.114
134.200,477.130
134.510,477.049
134.999,476.820
135.440,476.706
136.239,476.723
136.745,476.837
137.104,476.869
137.186,476.918
137.479,477.196
137.708,477.343
138.132,477.620
138.556,477.734
138.899,477.832
139.291,477.881
140.057,478.061
140.580,478.338
141.183,478.583
141.624,478.681
142.064,478.681
142.423,478.713
142.782,478.648
143.011,478.566
143.549,478.436
143.794,478.501
144.169,478.974
144.430,479.137
144.626,479.089
144.838,478.991
145.083,478.844
145.409,478.958
145.687,478.942
146.176,478.681
146.813,478.338
146.862,478.436
146.943,478.844
147.057,479.399
147.256,479.942
147.291,479.915
147.555,479.549
147.606,479.346
147.812,479.061
147.877,478.884
147.988,478.780
148.053,478.729
148.150,478.372
148.104,478.085
148.074,477.892
148.094,477.780
148.145,477.455
148.104,477.343
148.023,477.292
147.911,477.242
147.860,477.231
147.809,477.221
147.738,477.242
147.667,477.272
147.525,477.272
147.291,477.364
147.169,477.435
146.945,477.546
146.826,477.576
146.605,477.637
146.313,477.762
146.179,477.808
145.958,477.884
145.731,477.928
145.589,477.907
145.508,477.826
145.406,477.796
145.244,477.826
145.111,477.856
145.010,477.877
144.863,477.889
144.739,477.831
144.629,477.692
144.211,477.506
143.982,477.386
143.931,477.300
143.880,477.102
143.916,477.041
143.966,476.983
144.032,476.909
144.155,476.787
144.272,476.680
144.333,476.628
144.475,476.595
144.893,476.603
145.141,476.670
145.329,476.696
145.517,476.635
146.007,476.458
146.089,476.395
146.264,476.334
146.411,476.204
146.477,476.115
146.488,476.100
146.417,475.948
146.361,475.765
146.325,475.658
146.213,475.592
145.944,475.399
145.725,475.277
145.634,475.201
145.614,475.038
145.670,474.957
145.919,474.860
146.075,474.833
146.096,474.830
146.112,474.733
146.132,474.164
146.071,473.676
146.025,473.463
146.036,473.341
146.127,473.198
146.218,473.112
146.381,473.086
146.498,473.107
146.595,473.183
146.854,473.702
146.915,474.291
146.986,474.926
147.260,475.150
147.509,475.186
147.748,475.191
147.752,475.189
147.850,475.150
147.921,475.079
147.977,475.033
148.038,475.013
148.084,475.023
148.140,475.033
148.246,475.084
148.312,475.135
148.404,475.175
148.516,475.165
148.597,475.114
148.714,475.094
148.800,475.099
148.866,475.079
148.877,475.003
148.861,474.901
148.841,474.759
148.790,474.225
148.709,474.001
148.587,473.920
148.516,473.940
148.470,473.910
148.439,473.849
148.424,473.635
148.480,473.427
148.399,472.965
148.287,472.695
148.231,472.385
148.180,472.151
148.084,471.918
148.150,471.704
148.262,471.582
148.419,471.282
148.607,470.850
148.760,470.688
148.836,470.606
148.917,470.611
149.034,470.596
149.065,470.540
149.161,470.449
149.268,470.438
149.349,470.479
149.390,470.586
149.415,470.982
149.487,471.181
149.629,471.282
149.685,471.364
149.700,471.430
149.670,471.536
149.654,471.577
149.609,471.882
149.664,472.090
149.842,472.436
149.974,472.578
150.152,472.787
150.178,472.959
150.269,473.102
150.412,473.447
150.666,473.727
150.793,473.839
150.874,473.905
150.936,473.919
150.940,473.920
151.011,473.864
151.209,473.585
151.514,472.929
152.160,471.303
152.389,470.693
152.546,470.088
152.658,469.554
152.724,469.229
152.699,469.127
152.775,468.827
152.805,468.497
152.790,468.370
152.841,468.136
152.831,467.872
152.932,467.282
152.897,466.926
152.790,466.479
152.765,466.017
152.658,465.859
152.602,465.778
152.612,465.702
152.724,465.463
152.811,465.412
153.009,465.315
153.049,465.219
153.288,465.026
153.400,464.721
153.532,464.004
153.568,463.943
153.597,463.566
153.624,463.231
153.776,462.779
153.751,462.500
153.751,462.347
153.776,462.184
153.736,462.042
153.624,461.864
153.593,461.559
153.649,460.792
153.670,460.339
153.695,460.273
153.649,459.948
153.690,459.862
153.658,459.684
153.634,459.552
153.634,459.404
153.624,459.287
153.603,459.216
153.481,458.982
153.385,458.347
153.436,457.885
153.385,457.829
153.329,457.717
153.409,457.566
153.410,457.564
153.486,457.259
153.512,457.198
153.548,457.188
153.649,457.214
153.715,457.259
153.725,457.229
153.715,457.193
153.649,457.092
153.619,456.838
153.634,456.721
153.690,456.573
153.730,456.507
153.791,456.461
153.842,456.431
153.903,456.436
153.959,456.456
154.030,456.528
154.102,456.761
154.152,456.838
154.163,457.209
154.213,456.883
154.198,456.324
154.200,456.319
154.254,456.126
154.295,455.821
154.208,455.567
154.122,455.196
154.000,454.942
153.949,454.708
153.908,454.530
153.812,454.454
153.723,454.323
153.662,454.284
153.614,453.727
153.609,453.468
153.603,453.275
153.690,453.158
153.649,452.746
153.675,452.650
153.725,452.568
153.720,452.411
153.797,452.411
153.863,452.411
153.919,452.334
153.934,452.253
153.959,452.151
154.025,452.040
154.041,451.953
154.122,451.511
154.218,451.323
154.503,451.099
154.569,450.993
154.630,450.962
154.701,450.962
154.747,450.998
154.777,451.018
154.798,451.064
154.828,451.104
154.879,451.181
154.940,451.216
155.021,451.257
155.337,451.298
155.469,451.303
155.560,451.242
155.657,451.120
155.702,451.094
155.830,451.089
155.855,451.033
155.845,450.947
155.860,450.840
156.033,450.667
156.129,450.632
156.221,450.642
156.317,450.667
156.353,450.713
156.368,450.744
156.409,450.764
156.546,450.733
156.546,450.627
156.546,450.520
156.572,450.459
156.617,450.423
156.673,450.383
156.699,450.226
156.699,450.225
156.841,450.200
156.816,450.124
156.775,450.001
156.760,449.813
156.800,449.600
156.877,449.407
156.963,449.270
157.009,449.254
157.095,449.280
157.156,449.315
157.187,449.351
157.207,449.392
157.212,449.427
157.187,449.483
157.166,449.559
157.187,449.630
157.253,449.605
157.344,449.458
157.319,449.153
157.237,448.960
157.136,448.639
156.948,448.167
156.877,448.019
156.851,447.847
156.831,447.465
156.617,446.916
156.419,446.550
156.348,446.352
156.185,446.296
155.987,446.078
155.840,445.829
155.758,445.747
155.708,445.763
155.616,445.803
155.464,445.880
155.347,445.946
155.265,445.900
155.215,445.661
155.143,445.539
155.164,445.315
155.159,445.259
155.306,445.143
155.306,444.965
155.265,444.894
155.230,444.878
155.164,444.858
155.108,444.858
155.072,444.838
155.006,444.777
154.996,444.700
155.087,444.639
155.179,444.624
155.194,444.558
155.174,444.492
155.103,444.451
155.067,444.462
155.016,444.487
154.981,444.523
154.950,444.538
154.752,444.390
154.640,444.192
154.564,444.101
154.549,444.004
154.630,443.887
154.635,443.816
154.600,443.608
154.234,443.359
154.157,443.264
154.137,443.142
154.136,443.100
154.176,443.062
154.246,443.048
154.309,443.063
154.377,443.095
154.467,443.118
154.475,443.054
154.443,442.961
154.443,442.864
154.479,442.771
154.460,442.646
154.387,442.447
154.301,442.355
154.195,442.188
154.135,442.046
153.871,441.590
153.732,441.289
153.743,441.193
154.214,441.229
154.286,441.145
154.197,441.058
154.109,441.050
154.006,441.039
153.792,440.738
153.808,440.635
153.688,440.278
153.631,440.089
153.487,439.953
153.082,439.591
152.860,439.433
152.665,439.249
152.476,439.199
152.390,439.108
152.079,438.867
152.006,438.786
152.007,438.712
152.057,438.628
152.064,438.554
152.041,438.462
151.637,438.033
151.685,437.988
151.782,437.952
151.896,437.954
151.967,437.846
151.973,437.721
151.745,437.433
151.582,437.314
151.529,437.150
151.605,437.043
151.873,437.038
151.956,437.077
152.039,437.172
152.106,437.174
152.146,436.890
152.355,436.814
152.503,436.605
152.477,436.372
151.878,436.213
151.563,436.318
151.410,436.303
151.185,436.218
150.995,436.107
150.889,436.002
150.856,435.847
150.842,435.717
150.899,435.598
150.977,435.463
150.985,435.375
150.935,435.224
150.779,435.011
150.600,434.896
150.260,434.687
150.090,434.608
149.912,434.549
149.559,434.451
149.238,434.423
148.917,434.423
148.180,434.098
147.636,433.956
147.210,433.747
147.108,433.702
146.966,433.559
146.742,433.519
146.386,433.570
145.934,433.854
145.375,434.083
145.019,434.144
144.399,434.154
143.830,434.047
