latitude,longitude
-73.83985349598862,-64.77179811038768
-73.85436780489135,-64.71232481313739
-73.8820313830776,-64.61927196644253
-73.90096459913676,-64.58113295895426
-73.9288242333556,-64.56217078471276
-73.97660025382791,-64.56089975293105
-74.01612938710565,-64.53325569556246
-74.07933514528008,-64.41768057727195
-74.1153117284201,-64.31382089257184
-74.14267567756802,-64.2539407485494
-74.14729502558811,-64.22819142462872
-74.15999150208063,-64.10587128722412
-74.17248797814703,-64.03067858790892
-74.19544350828829,-63.88935662069831
-74.22468714071833,-63.795234434387545
-74.24805628974123,-63.71730427831213
-74.27720377146437,-63.64636324216791
-74.33091682105199,-63.48214450249161
-74.36125503866984,-63.324147346985036
-74.3992271053697,-63.16299311205473
-74.43009902924125,-63.068611282301596
-74.46486857346935,-63.00267041581953
-74.49187172739514,-62.93909812062747
-74.52280876283724,-62.90420546268528
-74.54411070805851,-62.89376900760063
-74.59182857006728,-62.85073459666087
-74.60847436716213,-62.79410484634214
-74.61878618402682,-62.596347148251375
-74.6326469525391,-62.507799683772326
-74.65003502372494,-62.492089802637665
-74.67070829378629,-62.48835885158325
-74.69595008928373,-62.49412534061015
-74.71690519359015,-62.40945020218119
-74.73935419042309,-62.37108778951038
-74.78851219183584,-62.37253767749287
-74.85255978216436,-62.375416999084884
-74.85237725626148,-62.33831514196711
-74.8419555358722,-62.20308083664659
-74.82790401374601,-62.01894695870823
-74.82078223466719,-61.825037836290264
-74.8246154785156,-61.827571868896484
-74.86056518554686,-61.89466857910157
-74.87302398681639,-61.94742202758789
-74.90096282958984,-61.999828338623054
-74.91342163085936,-62.042694091796875
-74.9264678955078,-62.05632781982421
-74.93370056152342,-62.06135177612304
-74.95607757568358,-62.153358459472656
-74.96432495117185,-62.247371673583984
-74.96989440917969,-62.31062698364258
-74.97609710693358,-62.34124374389648
-74.99345397949217,-62.431770324707024
-74.99484252929686,-62.47213745117188
-74.99053192138672,-62.50042343139648
-74.9838180541992,-62.533500671386726
-74.98023223876953,-62.544597625732415
-74.97665405273436,-62.555694580078125
-74.97022247314452,-62.56073379516602
-74.96337890625,-62.56269073486328
-74.95217895507811,-62.58506774902344
-74.93004608154295,-62.59407806396484
-74.91754913330077,-62.5916862487793
-74.89538574218749,-62.59293746948242
-74.88480377197266,-62.60251998901368
-74.86492156982422,-62.618846893310554
-74.8367919921875,-62.62664794921876
-74.82440948486327,-62.63357162475585
-74.80398559570311,-62.64527130126953
-74.78430175781249,-62.6672477722168
-74.77393341064452,-62.69540023803711
-74.77084350585935,-62.73234176635742
-74.76407623291016,-62.75718688964844
-74.75003051757812,-62.77316665649415
-74.73838806152342,-62.78441619873046
-74.72955322265624,-62.79399490356446
-74.71749114990232,-62.81267547607422
-74.71009063720699,-62.84907150268555
-74.70701599121092,-62.907333374023445
-74.6814956665039,-63.026939392089844
-74.66822814941405,-63.09733200073242
-74.66767120361327,-63.1308364868164
-74.67157745361325,-63.19776153564453
-74.6768341064453,-63.21062850952149
-74.68311309814452,-63.22043991088868
-74.69129180908202,-63.232421875
-74.7058639526367,-63.25064086914063
-74.71936798095702,-63.26499176025391
-74.72625732421874,-63.2715072631836
-74.73879241943358,-63.25978469848633
-74.77160644531249,-63.19388961791993
-74.78849029541016,-63.135841369628906
-74.80233001708984,-63.099449157714844
-74.81963348388669,-63.08903121948242
-74.86548614501952,-63.067455291748054
-74.87442779541014,-63.07380676269531
-74.89073181152342,-63.06533432006836
-74.90758514404294,-63.082298278808594
-74.91636351047578,-63.09900423992788
-74.9178009033203,-63.101741790771484
-74.91828155517577,-63.159008026123054
-74.92117309570312,-63.223209381103516
-74.92262268066405,-63.26112365722656
-74.91639709472652,-63.298343658447266
-74.90274047851561,-63.39820861816406
-74.89025115966795,-63.46854019165039
-74.8860092163086,-63.50560379028321
-74.8908233642578,-63.558158874511726
-74.89846801757812,-63.57445526123047
-74.92204284667967,-63.566158294677734
-74.93555669275871,-63.55056450219327
-74.93737030029297,-63.54846954345703
-74.9423904418945,-63.575641632080085
-74.96639251708982,-63.74669647216797
-74.98062133789061,-63.905555725097656
-74.98529052734375,-63.97801208496094
-74.9908447265625,-64.01399230957031
-75.003662109375,-64.04407501220703
-75.01430511474608,-64.0569839477539
-75.02825927734372,-64.04041290283203
-75.03678131103516,-64.01657104492188
-75.04151916503906,-63.97851562499999
-75.04191589355467,-63.77950668334961
-75.02359008789061,-63.58888626098633
-75.00408935546874,-63.3831672668457
-75.01692962646482,-63.27248382568359
-75.0352325439453,-63.223136901855476
-75.05393218994139,-63.184593200683594
-75.05428355580038,-63.18447384392397
-75.06360626220702,-63.181304931640625
-75.07208251953124,-63.192108154296875
-75.0783309936523,-63.19748306274415
-75.08397674560545,-63.19425964355469
-75.08718872070311,-63.18402862548828
-75.09120178222656,-63.17221450805664
-75.09761810302733,-63.13998031616211
-75.10080718994139,-63.11405944824219
-75.10640716552734,-63.087284088134766
-75.1156539916992,-63.07294845581055
-75.12413024902344,-63.07587814331055
-75.13418579101562,-63.0638542175293
-75.14081573486327,-63.04875564575196
-75.1468505859375,-63.04466629028321
-75.15071868896484,-63.066581726074226
-75.15359497070312,-63.10032272338867
-75.15769195556639,-63.14742660522461
-75.17498779296874,-63.32034683227538
-75.17742919921874,-63.40224838256836
-75.17098236083983,-63.44635009765625
-75.16452789306639,-63.45106887817383
-75.16210937499999,-63.46759033203126
-75.16210174560547,-63.491195678710945
-75.16933441162108,-63.55971145629883
-75.18199920654297,-63.61576080322266
-75.19371032714842,-63.772041320800774
-75.19535064697264,-63.873023986816406
-75.2029800415039,-63.97819900512696
-75.20801544189453,-64.05889892578125
-75.20936584472655,-64.14658355712892
-75.22289276123045,-64.2033462524414
-75.2365264892578,-64.2246322631836
-75.26067352294919,-64.29486083984375
-75.29229736328125,-64.40233612060547
-75.31072998046875,-64.43058776855469
-75.31994628906249,-64.44474792480469
-75.32626342773436,-64.43085479736328
-75.33619689941405,-64.41799926757812
-75.34078216552734,-64.43106079101562
-75.35201263427734,-64.44538116455078
-75.36094665527344,-64.43244934082031
-75.36589813232422,-64.4072494506836
-75.36505126953124,-64.36729431152344
-75.35183715820311,-64.23809051513672
-75.34986114501952,-64.16464233398438
-75.35729217529297,-64.11078643798828
-75.35860443115234,-64.07655334472656
-75.35725402832031,-64.0533676147461
-75.35067749023436,-64.0243911743164
-75.34787750244139,-64.013916015625
-75.33235931396483,-63.9249267578125
-75.32867431640625,-63.85078430175781
-75.32929229736328,-63.7146987915039
-75.33419799804686,-63.649505615234375
-75.34011840820312,-63.556400299072266
-75.3353042602539,-63.498237609863274
-75.33692169189453,-63.43931579589844
-75.33446502685545,-63.30873870849609
-75.34343719482422,-63.181190490722656
-75.34901428222655,-63.12609863281251
-75.35279846191405,-63.092533111572266
-75.35710219063287,-63.078306317937916
-75.35741424560545,-63.077274322509766
-75.3652877807617,-63.08346176147462
-75.39218902587889,-63.139564514160156
-75.44256591796875,-63.29736328125
-75.55823516845702,-63.71109390258788
-75.6003646850586,-63.87006759643555
-75.63650512695311,-64.03949737548828
-75.66612243652342,-64.19395446777344
-75.68395996093749,-64.28873443603516
-75.68583679199217,-64.32556915283203
-75.70346069335938,-64.41083526611328
-75.71854400634766,-64.5133056640625
-75.72217559814453,-64.55694580078125
-75.7351608276367,-64.62513732910156
-75.74438476562499,-64.71278381347656
-75.77484130859375,-64.88966369628906
-75.78536224365234,-65.01158905029297
-75.79348754882812,-65.1745376586914
