x,y
108.120,357.095
108.720,357.073
109.454,357.076
109.894,357.217
110.311,357.160
110.815,357.178
111.120,357.238
111.456,357.370
111.816,357.622
112.349,358.353
112.499,358.958
112.523,359.354
112.631,359.642
112.760,359.909
112.787,359.965
112.799,360.553
112.799,361.008
112.715,361.308
112.611,361.711
112.431,361.759
112.358,362.033
112.234,362.497
112.072,363.138
111.976,363.492
111.964,363.695
111.910,363.899
111.754,364.379
111.562,364.780
111.574,365.344
111.784,366.045
111.796,366.597
111.718,366.794
111.472,367.388
111.341,367.843
111.454,368.353
111.652,368.970
111.712,369.444
111.700,370.088
111.868,370.950
111.967,371.429
112.382,371.434
112.977,372.471
113.744,373.262
114.128,373.742
114.811,374.785
115.339,375.504
115.602,375.840
116.106,376.247
116.885,376.775
117.988,377.470
118.329,377.757
119.199,378.489
119.882,379.352
120.086,379.964
120.101,380.437
119.713,380.987
119.293,382.186
118.634,383.265
118.130,384.847
117.555,386.166
117.339,387.437
117.339,388.444
118.011,391.273
118.106,393.623
118.394,396.356
117.891,398.322
118.154,399.209
118.610,400.672
119.353,401.655
120.672,402.686
121.799,404.220
123.118,406.522
123.909,407.337
124.927,408.461
125.060,408.608
126.354,409.639
127.542,410.500
128.376,409.848
130.539,408.727
133.406,408.050
134.370,407.946
136.768,408.258
138.462,408.493
139.322,408.128
139.739,407.607
141.674,404.851
142.970,403.082
144.482,401.492
145.446,400.544
146.280,399.528
147.453,398.355
148.443,397.886
149.613,397.218
150.994,396.775
152.323,396.202
154.565,395.238
156.298,394.713
157.575,394.348
158.549,394.236
160.108,394.369
161.042,394.503
162.996,394.824
164.291,395.369
166.389,397.319
167.957,399.651
169.091,400.584
170.548,401.280
172.455,401.835
174.069,402.115
175.276,402.333
176.283,401.020
177.002,400.262
181.301,397.480
183.051,396.459
185.335,394.698
188.375,392.478
190.228,391.118
192.331,388.556
192.967,387.438
194.058,386.339
194.317,386.025
194.467,385.760
194.498,385.376
194.696,384.144
194.430,382.986
193.584,381.482
193.050,380.543
192.109,379.324
190.667,377.509
188.901,375.549
187.629,373.296
186.615,371.516
186.423,370.585
186.153,369.674
185.878,368.207
185.402,363.244
185.517,358.772
185.635,354.148
185.444,352.326
184.341,350.312
182.662,346.092
180.984,340.529
179.689,337.556
178.155,333.480
177.004,328.709
175.160,323.176
174.184,321.303
173.554,320.130
173.189,317.560
173.065,315.504
173.292,313.340
173.815,312.189
172.754,312.950
171.547,313.992
169.930,314.162
169.474,313.898
169.067,313.347
168.731,313.011
168.371,313.179
167.652,313.898
167.412,315.049
167.329,315.359
167.232,315.719
166.813,317.279
166.645,318.921
166.272,319.672
165.837,320.116
164.715,321.211
163.336,322.026
162.835,322.501
162.401,323.081
161.802,323.081
160.771,323.369
159.956,323.453
159.116,323.441
158.433,323.273
157.534,323.009
156.791,322.446
155.460,321.511
154.657,321.139
153.662,320.971
152.906,321.319
152.427,321.618
151.815,322.026
151.667,322.195
151.269,322.647
151.108,322.829
150.760,323.968
150.281,324.771
149.310,326.222
148.387,326.702
147.572,326.797
146.672,326.761
145.282,327.169
144.437,327.595
143.633,327.751
142.992,328.152
142.764,328.536
142.441,329.069
142.391,329.026
142.063,328.740
141.739,328.626
140.403,328.746
139.330,328.746
138.874,328.608
138.454,328.506
138.204,328.218
137.633,327.565
137.256,327.181
137.106,326.797
136.686,326.450
136.135,326.192
135.745,325.988
135.475,325.796
135.499,324.990
135.577,324.753
135.802,324.543
135.366,324.555
135.245,324.613
135.107,324.630
135.040,324.649
134.973,324.663
134.891,324.674
134.766,324.680
134.764,324.741
134.672,324.787
134.534,324.786
134.467,324.670
134.396,324.649
134.277,324.717
134.166,324.832
134.074,324.832
133.983,324.786
133.916,324.719
133.853,324.715
133.753,324.740
133.707,324.740
133.475,324.915
133.399,325.051
133.345,325.210
133.385,325.303
133.396,325.366
133.355,325.398
133.316,325.405
133.230,325.432
133.099,325.503
133.016,325.595
132.904,325.635
132.812,325.680
132.651,325.709
132.461,325.832
132.376,325.932
132.285,325.945
132.216,326.071
132.207,326.152
132.235,326.241
132.359,326.398
132.410,326.500
132.423,326.640
132.423,326.678
132.359,326.755
132.322,326.885
132.359,326.998
132.404,327.032
132.459,327.092
132.583,327.107
132.698,327.107
132.724,327.132
132.818,327.176
132.857,327.202
132.895,327.215
133.010,327.329
133.035,327.355
133.099,327.419
133.133,327.492
133.201,327.585
133.226,327.622
133.265,327.649
133.304,327.707
133.316,327.751
133.316,327.840
133.393,327.865
133.418,327.891
133.418,327.955
133.329,328.031
133.278,328.236
133.214,328.300
133.214,328.376
133.125,328.529
133.112,328.721
133.175,328.781
133.222,328.789
133.265,328.874
133.316,328.887
133.393,328.963
133.444,329.078
133.508,329.078
133.559,329.129
133.663,329.316
133.730,329.425
133.814,329.461
133.842,329.490
133.873,329.500
133.961,329.439
134.063,329.439
134.089,329.465
134.130,329.468
134.179,329.502
134.205,329.540
134.254,329.558
134.312,329.640
134.312,329.691
134.350,329.704
134.360,329.759
134.482,329.725
134.605,329.675
134.656,329.635
134.691,329.597
134.834,329.508
134.929,329.453
135.070,329.336
135.130,329.304
135.196,329.264
135.245,329.223
135.305,329.169
135.374,329.122
135.420,329.076
135.466,329.076
135.512,329.030
135.696,329.030
135.753,329.122
135.799,329.168
135.811,329.240
135.828,329.326
135.842,329.396
135.891,329.413
135.940,329.441
136.012,329.536
136.111,329.582
136.273,329.536
136.319,329.536
136.411,329.490
136.486,329.490
136.654,329.421
136.903,329.427
136.969,329.488
137.025,329.602
137.078,329.663
137.153,329.711
137.230,329.841
137.256,329.910
137.334,329.921
137.477,329.906
137.590,329.918
137.654,330.021
137.659,330.102
137.653,330.148
137.651,330.249
137.633,330.320
137.605,330.433
137.559,330.478
137.492,330.502
137.302,330.580
137.172,330.641
136.837,331.033
136.739,331.108
136.681,331.156
136.616,331.266
136.644,331.307
136.706,331.330
136.785,331.320
136.859,331.301
136.979,331.276
137.110,331.258
137.216,331.243
137.286,331.233
137.350,331.239
137.416,331.266
137.494,331.290
137.613,331.323
137.697,331.346
137.893,331.323
137.939,331.277
138.004,331.229
138.105,331.219
138.295,331.162
138.398,331.139
138.490,331.119
138.536,331.093
138.572,331.075
138.634,331.057
138.681,331.037
138.725,331.018
138.881,331.027
138.939,330.998
139.022,331.013
139.125,330.946
139.252,330.778
139.347,330.662
139.441,330.580
139.641,330.478
139.767,330.381
139.824,330.346
139.922,330.301
139.988,330.254
140.040,330.220
140.083,330.211
140.158,330.174
140.229,330.142
140.365,330.079
140.519,330.026
140.570,329.997
140.626,329.989
140.683,330.006
140.663,330.128
140.611,330.232
140.536,330.306
140.514,330.390
140.422,330.482
140.416,330.522
140.364,330.568
140.312,330.643
140.266,330.703
140.231,330.807
140.220,330.888
140.339,330.974
140.417,331.057
140.472,331.103
140.462,331.186
140.506,331.248
140.817,331.225
140.990,331.208
141.247,331.147
141.412,331.228
141.583,331.254
141.707,331.280
141.986,331.317
142.192,331.334
142.236,331.326
142.398,331.297
142.444,331.251
142.536,331.251
142.628,331.159
142.671,331.124
142.711,331.107
142.743,331.081
142.791,331.049
142.851,330.994
142.944,330.926
142.998,330.897
143.062,330.840
143.178,330.727
143.386,330.601
143.550,330.592
143.678,330.603
