x,y
118.154,399.209
117.891,398.322
118.394,396.356
118.106,393.623
118.011,391.273
117.339,388.444
117.339,387.437
117.555,386.166
118.130,384.847
118.634,383.265
119.293,382.186
119.713,380.987
120.101,380.437
120.086,379.964
119.882,379.352
119.199,378.489
118.329,377.757
117.988,377.470
116.885,376.775
116.106,376.247
115.602,375.840
115.339,375.504
114.811,374.785
114.128,373.742
113.744,373.262
112.977,372.471
112.382,371.434
111.967,371.429
111.868,370.950
111.700,370.088
111.712,369.444
111.652,368.970
111.454,368.353
111.341,367.843
111.472,367.388
111.718,366.794
111.796,366.597
111.784,366.045
111.574,365.344
111.562,364.780
111.754,364.379
111.910,363.899
111.964,363.695
111.976,363.492
112.072,363.138
112.234,362.497
112.358,362.033
112.431,361.759
112.611,361.711
112.715,361.308
112.799,361.008
112.799,360.553
112.787,359.965
112.760,359.909
112.631,359.642
112.523,359.354
112.499,358.958
112.349,358.353
111.816,357.622
111.456,357.370
111.120,357.238
110.815,357.178
110.311,357.160
109.894,357.217
109.454,357.076
108.720,357.073
108.120,357.095
108.103,357.142
108.116,357.291
108.209,357.377
108.198,357.625
108.227,357.758
108.128,357.923
108.111,358.056
108.053,358.250
108.007,358.296
108.007,358.571
108.053,358.617
108.134,358.846
108.117,358.978
108.181,359.081
108.155,359.200
108.201,359.292
108.201,359.338
108.431,359.568
108.476,359.568
108.522,359.614
108.614,359.614
108.660,359.724
108.798,359.724
108.844,359.770
108.982,359.770
109.027,359.725
109.165,359.725
109.257,359.679
109.395,359.679
109.441,359.633
109.533,359.633
109.579,359.587
109.625,359.587
109.671,359.541
109.763,359.541
109.809,359.495
109.895,359.460
110.211,359.168
110.373,358.965
110.614,358.863
110.706,358.863
110.798,358.909
110.890,358.909
110.890,358.955
110.844,359.001
110.844,359.139
110.798,359.185
110.798,359.276
110.752,359.322
110.752,359.506
110.694,359.895
110.694,359.987
110.649,360.033
110.649,360.125
110.603,360.170
110.615,360.327
110.575,360.471
110.629,360.553
110.639,360.569
110.810,360.593
111.074,360.543
111.210,360.556
111.296,360.723
111.284,360.882
111.179,361.002
111.071,361.201
110.932,361.409
110.857,361.495
110.811,361.541
110.811,361.545
110.811,361.587
110.765,361.633
110.765,361.679
110.719,361.724
110.719,361.770
110.673,361.816
110.673,361.908
110.557,361.954
110.557,362.000
110.511,362.046
110.511,362.138
110.465,362.183
110.465,362.229
110.419,362.275
110.326,362.315
110.280,362.361
110.280,362.407
110.234,362.453
110.234,362.498
110.188,362.544
110.073,362.719
110.027,362.765
110.027,362.857
109.981,362.903
109.981,363.041
110.001,363.081
110.001,363.219
109.994,363.320
109.977,363.418
109.846,363.442
109.844,363.485
109.849,363.529
109.836,363.652
109.847,363.730
109.854,363.790
109.840,363.922
109.703,364.143
109.683,364.237
109.717,364.350
109.731,364.378
109.748,364.456
109.792,364.521
109.901,364.548
109.933,364.593
109.952,364.646
109.962,364.746
110.017,364.772
110.062,364.806
110.106,364.926
110.074,364.981
110.052,365.017
110.059,365.050
110.073,365.096
110.072,365.192
110.017,365.231
109.981,365.246
109.939,365.286
109.922,365.333
109.926,365.377
109.956,365.413
109.991,365.424
110.023,365.363
110.083,365.313
110.182,365.323
110.243,365.378
110.327,365.517
110.346,365.609
110.387,365.680
110.509,365.783
110.538,365.852
110.557,365.937
110.556,366.041
110.522,366.119
110.472,366.147
110.417,366.145
110.374,366.153
110.343,366.180
110.266,366.274
110.277,366.321
110.275,366.362
110.198,366.395
110.134,366.409
110.077,366.421
110.030,366.461
109.990,366.502
109.936,366.519
109.775,366.548
109.764,366.592
109.775,366.706
109.744,366.797
109.746,366.832
109.774,366.876
109.839,366.940
109.844,366.993
109.705,367.084
109.615,367.210
109.557,367.295
109.432,367.481
109.364,367.525
109.338,367.590
109.370,367.643
109.393,367.690
109.450,367.695
109.502,367.707
109.520,367.735
109.582,367.783
109.613,367.776
109.627,367.814
109.635,368.118
109.639,368.193
109.593,368.292
109.555,368.349
109.551,368.391
109.542,368.433
109.513,368.491
