x,y
230.122,460.264
230.274,460.353
230.487,460.421
230.757,460.386
230.980,460.414
231.066,460.367
231.093,460.264
231.114,460.171
231.094,460.054
231.089,460.005
231.121,459.957
231.151,459.933
231.192,459.872
231.163,459.828
231.110,459.793
231.124,459.752
231.142,459.721
231.167,459.689
231.207,459.670
231.250,459.682
231.301,459.689
231.350,459.675
231.409,459.664
231.437,459.685
231.465,459.717
231.470,459.759
231.492,459.807
231.520,459.827
231.590,459.830
231.643,459.818
231.703,459.765
231.748,459.733
231.783,459.726
231.809,459.758
231.801,459.809
231.795,459.864
231.815,459.915
231.846,459.947
231.834,459.989
231.762,460.028
231.705,460.079
231.582,460.289
231.529,460.344
231.490,460.376
231.440,460.455
231.426,460.508
231.418,460.575
231.432,460.637
231.583,460.845
231.670,461.032
231.661,461.158
231.594,461.463
231.576,461.595
231.576,461.738
231.621,461.823
231.647,461.888
231.629,461.941
231.612,461.991
231.599,462.063
231.629,462.095
231.721,462.095
231.801,462.005
232.019,461.712
232.177,461.592
232.431,461.454
232.897,461.233
233.195,461.046
233.317,460.986
233.366,460.963
233.523,460.734
233.568,460.670
233.610,460.663
233.642,460.676
233.689,460.684
233.748,460.623
233.896,460.342
233.981,460.135
234.166,459.858
234.335,459.590
234.620,459.262
234.872,458.782
235.003,458.506
235.077,458.171
235.117,458.012
235.130,457.906
235.169,457.828
235.400,457.722
235.580,457.661
235.765,457.604
235.825,457.592
235.873,457.595
235.903,457.602
236.004,457.546
236.088,457.443
236.148,457.297
236.219,457.248
236.293,457.251
236.350,457.302
236.397,457.350
236.425,457.373
236.500,457.350
236.547,457.315
236.643,457.285
236.749,457.288
236.842,457.327
236.886,457.376
236.909,457.458
236.914,457.539
236.840,457.668
236.618,457.945
236.510,458.127
236.440,458.270
236.433,458.347
236.431,458.429
236.461,458.504
236.493,458.547
236.524,458.570
236.565,458.566
236.671,458.483
236.731,458.404
236.803,458.321
236.847,458.248
236.994,458.067
237.066,458.042
237.132,458.042
237.160,458.070
237.181,458.104
237.199,458.261
237.140,458.616
237.107,459.009
237.031,459.445
237.020,459.793
237.054,459.985
237.091,460.044
237.135,460.100
237.195,460.171
237.209,460.245
237.350,460.333
237.377,460.402
237.410,460.482
237.449,460.511
237.541,460.517
237.658,460.538
237.753,460.596
237.804,460.670
237.808,460.780
237.758,460.884
237.621,461.399
237.553,461.509
237.448,461.733
237.398,461.814
237.414,461.927
237.416,462.000
237.379,462.120
237.264,462.418
237.237,462.506
237.237,462.549
237.192,462.684
237.165,462.803
237.144,462.921
237.070,463.061
236.911,463.177
236.789,463.329
236.722,463.565
236.697,463.719
236.701,463.812
236.613,463.948
236.290,464.236
236.180,464.270
235.922,464.369
235.845,464.478
235.861,464.536
235.875,464.614
235.857,464.667
235.832,464.704
235.762,464.769
235.691,464.806
235.654,464.833
235.659,464.896
235.638,464.955
235.589,465.000
235.529,465.031
235.264,465.172
235.179,465.283
235.110,465.412
235.073,465.474
235.059,465.526
235.015,465.576
234.955,465.627
234.890,465.925
234.920,466.058
234.899,466.203
234.884,466.257
234.833,466.351
234.756,466.999
234.756,467.313
234.722,467.549
234.611,467.940
234.558,468.134
234.537,468.256
234.501,468.305
234.431,468.370
234.297,468.476
234.270,468.550
234.240,468.630
234.210,468.663
234.101,468.783
234.097,468.854
234.131,468.907
234.162,468.986
234.159,469.036
234.162,469.083
