x,y
561.059,339.232
561.058,339.168
561.060,339.071
561.055,338.957
560.977,338.907
560.965,338.865
560.944,338.819
560.915,338.776
560.901,338.710
560.802,338.651
560.764,338.679
560.700,338.679
560.669,338.678
560.638,338.652
560.605,338.641
560.563,338.647
560.539,338.666
560.506,338.671
560.458,338.621
560.469,338.531
560.483,338.487
560.520,338.446
560.516,338.412
560.512,338.354
560.501,338.294
560.474,338.275
560.443,338.264
560.401,338.261
560.361,338.263
560.362,338.214
560.333,338.166
560.338,338.127
560.314,338.088
560.285,338.053
560.307,338.009
560.273,337.937
560.277,337.903
560.276,337.871
560.250,337.838
560.222,337.810
560.198,337.757
560.147,337.714
560.138,337.670
560.110,337.600
560.036,337.580
559.955,337.582
559.872,337.549
559.839,337.516
559.814,337.465
559.808,337.431
559.793,337.404
559.772,337.379
559.763,337.338
559.767,337.295
559.757,337.240
559.675,337.136
559.670,337.030
559.657,336.992
559.612,336.976
559.462,336.935
559.400,336.935
559.354,336.908
559.237,336.840
559.253,336.771
559.218,336.751
559.166,336.716
559.137,336.590
559.104,336.545
559.064,336.553
558.986,336.541
558.916,336.394
558.883,336.353
558.889,336.312
558.927,336.282
559.011,336.271
559.019,336.190
559.047,335.996
559.114,335.841
559.101,335.770
559.055,335.686
558.993,335.644
558.893,335.589
558.870,335.537
558.870,335.476
558.874,335.379
558.900,335.329
558.936,335.281
558.974,335.229
559.008,335.180
559.013,335.135
558.977,335.012
558.834,335.111
558.689,335.170
558.498,335.207
558.285,335.216
557.871,335.307
557.467,335.411
556.780,335.666
556.412,335.875
555.158,336.579
554.568,336.879
553.931,337.261
553.168,337.524
551.996,337.833
550.678,338.133
549.424,338.215
548.751,338.215
547.443,338.288
546.143,338.178
545.452,338.097
543.199,337.651
541.654,337.333
540.345,337.152
538.755,336.979
537.401,337.042
536.601,337.061
535.079,337.357
534.314,337.679
533.569,338.122
533.178,338.307
531.339,339.167
528.541,341.210
526.114,343.463
523.643,344.683
522.023,344.561
517.073,344.754
512.089,344.892
509.178,345.153
506.488,345.081
502.786,345.062
500.549,345.437
497.350,347.328
495.715,349.182
492.504,354.510
488.662,360.160
486.045,363.759
484.627,366.121
481.792,370.017
480.519,372.212
478.613,375.164
475.137,380.571
471.061,386.074
468.149,388.023
464.341,389.119
462.528,389.040
467.309,390.318
470.903,391.734
474.646,394.624
480.915,403.201
483.765,407.222
484.439,408.318
490.835,417.482
494.691,421.924
495.805,424.082
497.271,426.724
497.946,428.864
498.719,430.924
498.907,432.297
499.132,434.496
499.659,436.441
500.059,437.950
500.422,439.313
500.804,440.558
501.458,442.375
501.822,443.575
502.658,446.592
503.476,450.064
503.875,451.118
504.584,453.172
505.511,455.553
506.111,456.952
506.820,458.434
507.229,459.142
507.765,460.069
508.319,460.824
508.728,461.314
509.183,461.787
509.669,462.082
510.532,462.523
511.182,462.632
511.655,462.510
512.045,462.364
512.663,462.160
512.982,462.087
513.677,462.055
514.063,462.069
514.113,462.341
514.117,462.628
514.208,462.809
514.340,462.987
514.531,463.128
514.566,462.999
514.783,462.973
514.783,462.909
514.834,462.897
514.990,462.705
515.032,462.680
515.108,462.636
515.090,462.530
515.205,462.335
515.205,462.258
515.163,462.165
515.125,461.897
515.217,461.620
515.148,461.713
514.933,461.567
514.679,461.429
514.541,461.291
514.456,461.268
514.357,461.198
514.211,461.068
514.003,461.022
513.919,461.037
513.773,461.052
513.627,460.991
513.465,460.999
513.304,460.999
513.219,461.014
513.112,461.022
513.089,460.853
513.212,460.776
513.342,460.722
513.465,460.637
513.465,460.538
513.396,460.499
513.296,460.515
513.235,460.468
513.181,460.407
513.158,460.315
513.219,460.161
513.265,460.100
513.335,460.115
513.442,460.138
513.511,460.053
513.627,459.961
513.819,459.854
514.049,459.831
514.426,459.631
514.602,459.516
514.656,459.439
514.649,459.377
514.587,459.300
514.480,459.324
514.372,459.362
514.272,459.385
514.141,459.416
514.042,459.385
513.727,459.239
513.642,459.147
513.757,459.024
514.026,458.916
514.480,458.724
514.618,458.609
514.541,458.509
514.188,458.263
513.965,458.079
513.788,457.840
513.849,457.741
514.011,457.687
514.756,457.648
515.087,457.625
515.302,457.572
515.309,457.479
515.240,457.310
