x,y
436.234,579.104
436.553,578.935
436.761,578.725
436.910,578.294
436.907,578.159
436.919,578.055
436.922,577.979
436.928,577.911
436.933,577.858
436.901,577.810
436.698,577.703
436.595,577.697
436.450,577.787
436.361,577.802
436.145,577.850
435.950,577.952
435.848,577.946
435.766,577.904
435.721,577.765
435.661,577.726
435.679,577.610
435.710,577.511
435.789,577.376
435.808,577.309
435.796,577.254
435.679,577.106
435.630,576.996
435.648,576.929
435.691,576.855
435.710,576.787
435.691,576.689
435.667,576.591
435.667,576.536
435.679,576.462
435.587,576.339
435.569,576.296
435.587,576.223
435.685,576.100
435.667,576.039
435.630,576.008
435.624,575.855
435.648,575.812
435.759,575.781
435.777,575.726
435.740,575.597
435.697,575.523
435.734,575.487
435.802,575.511
435.839,575.542
435.839,575.480
435.777,575.419
435.722,575.192
435.710,575.057
435.648,574.701
435.562,574.548
435.507,574.542
435.501,574.499
435.483,574.400
435.440,574.382
435.378,574.222
435.378,574.167
435.409,574.118
435.427,574.087
435.397,573.952
435.513,573.768
435.587,573.351
435.673,573.032
435.771,573.026
435.826,572.860
436.004,572.799
436.047,572.701
436.053,572.535
436.078,572.455
436.250,572.326
436.464,572.412
436.501,572.461
436.507,572.547
436.532,572.676
436.569,572.737
436.581,572.768
436.649,572.989
436.642,573.087
436.599,573.155
436.599,573.277
436.593,573.327
436.587,573.480
436.581,573.658
436.550,573.768
436.532,573.848
436.550,574.130
436.581,574.149
436.624,574.130
436.679,574.112
436.722,574.216
436.747,574.259
436.777,574.327
436.777,574.376
436.771,574.505
436.814,574.535
436.869,574.584
436.876,574.646
436.912,574.695
436.937,574.750
437.078,574.719
437.113,574.774
437.240,574.730
437.356,574.621
437.510,574.672
437.573,574.684
437.612,574.736
437.676,574.735
437.714,574.685
437.778,574.697
437.829,574.723
437.893,574.672
437.956,574.672
437.982,574.697
437.995,574.736
438.058,574.774
438.161,574.774
438.275,574.723
438.339,574.748
438.378,574.774
438.494,574.806
438.669,574.760
438.754,574.641
438.958,574.627
439.067,574.608
439.105,574.646
439.105,574.697
438.952,574.748
439.029,574.799
439.092,574.799
439.138,574.876
439.131,574.977
439.220,575.056
439.156,575.157
439.156,575.259
439.194,575.297
439.245,575.348
439.233,575.438
439.271,575.476
439.322,575.488
439.348,575.514
439.335,575.552
439.424,575.616
439.463,575.655
439.552,575.693
439.590,575.744
439.641,575.782
439.718,575.808
439.769,575.897
439.807,575.948
439.807,575.999
439.833,576.063
439.871,576.101
439.948,576.152
439.986,576.191
440.037,576.216
440.203,576.152
440.568,576.120
441.058,575.910
441.109,575.833
441.390,575.667
441.428,575.578
441.492,575.552
441.492,575.510
441.505,575.418
441.568,575.311
441.694,575.205
441.753,575.196
441.795,575.137
441.841,575.154
441.885,575.204
441.904,575.338
441.954,575.515
442.028,575.553
442.015,575.591
442.047,575.588
442.079,575.604
442.117,575.578
442.249,575.545
442.325,575.436
442.427,575.320
442.515,575.247
442.584,575.254
442.617,575.419
442.581,575.487
442.562,575.556
442.571,575.636
442.662,575.678
442.752,575.612
442.845,575.642
442.871,575.680
442.883,575.757
442.909,575.782
442.934,575.859
442.934,575.923
442.883,575.974
442.845,575.961
442.794,575.923
442.743,575.923
442.730,576.037
442.768,576.063
442.794,576.127
442.832,576.178
442.819,576.254
442.871,576.293
442.909,576.318
442.934,576.420
442.973,576.459
443.011,576.459
443.049,576.497
443.113,576.446
443.278,576.491
443.279,576.895
443.480,576.930
443.454,577.145
443.526,577.187
443.702,577.068
443.647,577.279
443.702,577.354
443.886,577.001
443.981,576.905
444.045,576.957
444.032,577.071
444.185,577.046
444.211,577.097
444.300,577.123
444.338,577.148
444.338,577.237
444.377,577.276
444.415,577.288
444.441,577.365
444.568,577.352
444.648,577.472
444.734,577.582
444.609,577.681
444.535,577.775
444.445,577.846
444.509,577.935
444.632,578.017
444.798,578.169
444.772,578.309
444.696,578.386
444.709,578.437
444.772,578.488
444.798,578.526
444.798,578.578
444.816,578.629
444.862,578.698
444.799,578.803
444.927,578.779
444.994,578.647
445.097,578.636
445.140,578.770
445.156,578.935
445.325,578.935
445.396,578.951
445.416,579.009
445.392,579.125
445.476,579.183
445.589,579.165
