x,y
277.665,589.556
277.120,592.101
277.181,592.611
277.431,593.236
277.612,594.167
277.749,594.997
277.726,595.326
277.453,595.576
277.010,595.644
276.124,595.690
275.777,595.741
275.505,596.229
275.527,596.945
275.664,597.934
275.652,598.525
275.403,598.899
274.982,599.513
274.664,600.376
274.323,600.763
273.676,601.706
273.051,603.115
272.233,604.433
271.676,604.944
271.403,605.398
271.119,605.910
271.267,606.955
271.449,608.261
271.733,609.227
271.733,609.409
271.843,609.403
272.227,609.787
272.989,610.973
273.534,611.849
274.013,613.136
274.181,613.695
274.026,614.268
273.952,614.474
273.956,614.699
274.033,614.932
274.028,615.079
274.110,615.077
274.443,615.043
274.870,614.972
274.989,614.846
275.028,614.806
275.118,614.783
275.354,614.687
275.405,614.656
275.452,614.599
275.490,614.570
275.541,614.497
275.512,614.434
275.487,614.414
275.461,614.387
275.458,614.350
275.479,614.217
275.541,614.179
275.600,614.092
275.696,613.996
275.724,613.914
275.788,613.815
275.818,613.761
275.850,613.625
275.866,613.597
275.912,613.517
275.962,613.461
275.999,613.405
275.890,613.248
275.742,613.019
275.569,612.741
275.496,612.398
275.430,612.036
275.399,611.884
275.393,611.557
275.442,611.501
275.507,611.421
275.510,611.328
275.452,611.263
275.155,610.948
274.685,610.574
274.602,610.515
274.255,610.237
274.218,610.144
274.249,610.027
274.268,609.897
274.203,609.776
274.163,609.727
274.172,609.606
274.299,609.433
274.333,609.353
274.438,609.103
274.432,609.031
274.351,608.908
274.156,608.568
274.098,608.423
274.014,608.237
273.854,608.002
273.844,607.888
273.884,607.767
273.912,607.712
273.986,607.594
274.067,607.501
274.280,607.353
274.345,607.344
274.385,607.325
274.481,607.307
274.620,607.319
274.821,607.365
274.908,607.369
275.006,607.356
275.053,607.390
275.278,607.477
275.393,607.551
275.464,607.551
275.504,607.557
275.637,607.600
275.798,607.554
275.884,607.514
275.928,607.514
276.008,607.542
276.104,607.588
276.215,607.591
276.280,607.603
276.320,607.637
276.348,607.665
276.388,607.690
276.447,607.702
276.561,607.678
276.676,607.659
276.713,607.681
276.812,607.693
276.907,607.792
276.991,607.811
277.037,607.817
277.133,607.807
277.186,607.792
277.235,607.764
277.269,607.752
277.312,607.758
277.365,607.789
277.433,607.844
277.547,607.872
277.646,607.875
277.736,607.848
277.776,607.841
278.060,607.875
278.128,607.919
278.212,607.965
278.274,607.971
278.475,607.965
278.586,607.947
278.722,607.934
278.839,607.959
278.988,608.076
279.015,608.209
278.969,608.277
278.972,608.333
279.012,608.330
279.046,608.287
279.105,608.225
279.151,608.203
279.204,608.218
279.362,608.305
279.433,608.287
279.454,608.237
279.482,608.200
279.600,608.178
279.699,608.178
279.896,608.234
280.045,608.188
280.141,608.181
280.314,608.234
280.440,608.296
280.536,608.317
280.740,608.330
280.855,608.296
280.941,608.212
281.077,608.151
281.263,607.996
281.352,608.005
281.476,607.937
281.519,607.919
281.584,607.940
281.621,607.925
281.655,607.925
281.695,607.950
281.785,607.940
281.927,607.922
282.236,608.015
282.314,608.036
282.357,608.036
282.422,608.061
282.462,608.129
282.477,608.237
282.443,608.379
282.378,608.426
282.283,608.419
282.208,608.435
282.051,608.509
281.927,608.484
281.825,608.494
281.841,608.552
281.887,608.574
281.949,608.586
282.051,608.589
282.091,608.611
282.134,608.654
282.147,608.713
282.156,608.766
282.212,608.818
282.357,608.753
282.425,608.664
282.493,608.589
282.604,608.481
282.737,608.277
282.932,608.083
283.136,607.854
283.154,607.786
283.154,607.585
283.164,607.359
283.238,607.140
283.377,606.988
283.470,606.905
283.599,606.917
283.677,606.976
283.791,607.032
283.862,607.072
283.992,607.127
284.032,607.131
284.122,607.100
284.227,607.075
284.307,607.106
284.412,607.174
284.468,607.282
284.487,607.331
284.434,608.120
284.406,608.234
284.338,608.339
284.174,608.351
284.079,608.376
284.020,608.444
284.026,608.494
284.075,608.540
284.227,608.602
284.298,608.623
284.347,608.667
284.406,608.797
284.465,609.013
284.483,609.069
284.502,609.099
284.539,609.121
284.573,609.112
284.607,609.090
284.635,609.059
284.675,608.991
284.817,608.722
284.953,608.469
285.003,608.395
285.071,608.348
285.108,608.339
285.151,608.336
285.201,608.339
285.303,608.401
285.469,608.491
285.547,608.580
285.587,608.704
285.584,608.902
285.593,609.038
285.639,609.155
285.698,609.248
285.843,609.337
285.892,609.344
286.014,609.328
286.183,609.330
286.235,609.321
286.259,609.264
286.265,609.205
286.269,609.100
286.274,609.040
286.311,608.966
286.351,608.944
286.431,608.934
286.467,608.928
286.575,608.969
286.627,609.010
286.673,609.055
286.696,609.113
286.693,609.144
286.690,609.175
286.711,609.257
286.706,609.298
286.693,609.344
286.698,609.399
286.713,609.456
286.786,609.481
286.813,609.454
286.840,609.413
286.845,609.360
286.825,609.309
286.832,609.266
286.834,609.173
286.847,609.120
286.881,609.091
286.927,609.070
286.980,609.046
287.023,609.014
287.065,608.962
287.067,608.878
287.123,608.796
287.190,608.737
287.256,608.681
287.289,608.611
287.353,608.563
287.435,608.499
287.463,608.462
287.487,608.401
287.500,608.343
287.521,608.316
287.558,608.278
287.595,608.254
287.657,608.225
287.681,608.188
287.737,608.145
287.795,608.154
287.894,608.181
287.925,608.199
287.952,608.238
287.985,608.253
288.017,608.229
288.061,608.278
288.112,608.284
288.149,608.239
288.192,608.219
288.237,608.219
288.300,608.252
288.353,608.267
288.390,608.227
288.418,608.210
288.435,608.176
288.475,608.046
288.491,607.961
288.485,607.914
288.469,607.832
288.453,607.781
288.455,607.725
288.484,607.686
288.523,607.654
288.507,607.536
288.485,607.264
288.520,607.183
288.604,607.146
288.710,607.117
288.860,607.030
288.920,606.988
288.976,606.992
289.014,607.002
289.092,607.049
289.142,607.106
289.199,607.173
289.227,607.208
289.255,607.281
289.280,607.387
289.329,607.678
289.352,607.786
289.386,607.832
